OMIM Search - '(cs_molecular_basis:(mutation OR ( (mutant) OR (variation) OR (mutational) OR (mutant OR mutational OR variation) ) OR ( (variance OR variant) )))'
Downloaded:	Oct 27, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#616216	THROMBOCYTOPENIA 5; THC5		12p13.2		
#310200	MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD		Xp21.2-p21.1		
#613791	MASP2 DEFICIENCY		1p36.22		
#614372	MANNOSE-BINDING LECTIN DEFICIENCY; MBLD		10q21.1		
#617075	NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 3; NPCA3		3p21.31		
#165720	OSTEOARTHRITIS SUSCEPTIBILITY 1; OS1		2q32.1		
#252010	MITOCHONDRIAL COMPLEX I DEFICIENCY		1q23.3, 2q33.1, 2q33.3, 3p21.31, 3q13.33, 5p15.33, 5q11.2, 5q12.1, 6q16.1, 8q24.13, 11p11.2, 11q13.2, 11q14.1, 11q24.2, 14q12, 15q15.1, 18p11.22, 19p13.3, 20p12.1, Xp11.3, Xq24		
#256000	LEIGH SYNDROME; LS	LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX II DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX III DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX IV DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX V DEFICIENCY, INCLUDED	2q35, 2q37.3, 5p15.33, 5q11.2, 5q12.1, 5q31.3, 8q22.1, 9q34.2, 10q24.2, 11p11.2, 11q13.2, 11q24.2, 12p13.32, 12q22, 17p12, 19p13.3		
#220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY		1p32.3, 1q44, 2q33.3, 11q13.1, 12q13.12, 14q32.33, 17p13.1, 17p12, 17q23.3, 19p13.2, 19q13.12		
#162200	NEUROFIBROMATOSIS, TYPE I; NF1		17q11.2		
#601665	OBESITY	LEANNESS, INCLUDED	1p36.11, 1p35.2, 2p23.3, 3p25.3, 3p25.2, 4q31.1, 5q13.2, 5q32, 5q32, 6q16.3, 6q23.2, 8p11.23, 11q13.4, 16q22.1, 18q21.32		
#535000	LEBER OPTIC ATROPHY				
#540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS				
#214100	PEROXISOME BIOGENESIS DISORDER 1A (ZELLWEGER); PBD1A	PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 1, INCLUDED; CG1, INCLUDED;;PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP E, INCLUDED; CGE, INCLUDED	7q21.2		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11p15.1, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED;;CCHS WITH HIRSCHSPRUNG DISEASE, INCLUDED;;HADDAD SYNDROME, INCLUDED	4p13, 5p13.2, 10q11.21, 11p14.1, 12q23.2, 20q13.32		
#607785	JUVENILE MYELOMONOCYTIC LEUKEMIA; JMML	LEUKEMIA, CHRONIC MYELOMONOCYTIC, INCLUDED; CMML, INCLUDED	5q31.3, 11q23.3, 12q24.13, 17q11.2		
#603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED;;OVARIOLEUKODYSTROPHY, INCLUDED	1p34.1, 2p23.3, 3q27.1, 12q24.31, 14q24.3		
