OMIM Search - '(cs_molecular_basis_exists:TRUE) AND NOT (cs_molecular_basis:(mutation OR ( (mutant) OR (variation) OR (mutational) OR (mutant OR mutational OR variation) ) OR ( (variance OR variant) )))'
Downloaded:	Oct 27, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#143100	HUNTINGTON DISEASE; HD		4p16.3		
+151430	B-CELL CLL/LYMPHOMA 2; BCL2	LEUKEMIA/LYMPHOMA, B-CELL, 2, INCLUDED	18q21.33	18:63123345-63319777	596
#600430	CHROMOSOME 2q37 DELETION SYNDROME		2q37	2:230100000-242193529	
#601583	WILMS TUMOR 5; WT5		7p14.1		
#164300	OCULOPHARYNGEAL MUSCULAR DYSTROPHY; OPMD		14q11.2		
#164400	SPINOCEREBELLAR ATAXIA 1; SCA1		6p22.3		
#166750	OTODENTAL DYSPLASIA	OTODENTAL SYNDROME WITH COLOBOMA, INCLUDED;;OCULOOTODENTAL SYNDROME, INCLUDED	11q13	11:63600000-77400000	
#169500	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD		5q23.2		
#176270	PRADER-WILLI SYNDROME; PWS	PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED;;PRADER-WILLI-LIKE SYNDROME ASSOCIATED WITH CHROMOSOME 6, INCLUDED	15q11.2, 15q11.2		
#177700	GLAUCOMA 1, OPEN ANGLE, P; GLC1P		12q14	12:57700000-67300000	
#180860	SILVER-RUSSELL SYNDROME; SRS		7p11.2	7:53900000-58100000	
#181030	SALIVARY GLAND ADENOMA, PLEOMORPHIC		8q12.1		
#183090	SPINOCEREBELLAR ATAXIA 2; SCA2	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 13, INCLUDED; ALS13, INCLUDED	12q24.12		
#185900	CHROMOSOME 2q35 DUPLICATION SYNDROME	CRANIOSYNOSTOSIS, PHILADELPHIA TYPE, INCLUDED	2q34-q36	2:208200000-230100000	
#186550	LIEBENBERG SYNDROME; LBNBG		5q31.1		
#188025	THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE; TCPT		11q23	11:110600000-121300000	
#190685	DOWN SYNDROME	DOWN SYNDROME CHROMOSOME REGION, INCLUDED; DCR, INCLUDED;;DOWN SYNDROME CRITICAL REGION, INCLUDED; DSCR, INCLUDED;;TRANSIENT MYELOPROLIFERATIVE DISORDER OF DOWN SYNDROME, INCLUDED;;LEUKEMIA, MEGAKARYOBLASTIC, OF DOWN SYNDROME, INCLUDED	21q22.3	21:41200000-46709983	
#192430	VELOCARDIOFACIAL SYNDROME		22q11.21		
#194050	WILLIAMS-BEUREN SYNDROME; WBS		7q11.23	7:72700000-77900000	
#194190	WOLF-HIRSCHHORN SYNDROME; WHS		4p16.3		
