OMIM Search - 'NOT prefix:\^'
Downloaded:	Oct 30, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
+182100	FUCOSYLTRANSFERASE 2; FUT2	NORWALK VIRUS INFECTION, RESISTANCE TO, INCLUDED	19q13.33	19:48695970-48705933	2524
+182455	SOMATOSTATIN RECEPTOR 5; SSTR5	SOMATOSTATIN ANALOG, RESISTANCE TO, INCLUDED	16p13.3	16:1072755-1081453	6755
+182870	SPECTRIN, BETA, ERYTHROCYTIC; SPTB	ELLIPTOCYTOSIS 3, INCLUDED; EL3, INCLUDED	14q23.3	14:64746282-64879891	6710
+187395	TERATOCARCINOMA-DERIVED GROWTH FACTOR 1; TDGF1	FOREBRAIN DEFECTS, INCLUDED	3p21.31	3:46574554-46582462	6997
+188545	THYROTROPIN-RELEASING HORMONE RECEPTOR; TRHR	THYROTROPIN-RELEASING HORMONE RESISTANCE, GENERALIZED, INCLUDED	8q23.1	8:109085744-109119784	7201
+192240	VASCULAR ENDOTHELIAL GROWTH FACTOR A; VEGFA	ATHEROSCLEROSIS, SUSCEPTIBILITY TO, INCLUDED	6p21.1	6:43770208-43786486	7422
+600046	ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 1; ABCA1	CORONARY HEART DISEASE IN FAMILIAL HYPERCHOLESTEROLEMIA, PROTECTION AGAINST, INCLUDED;;HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 13, INCLUDED; HDLCQ13, INCLUDED	9q31.1	9:104781001-104928245	19
+600522	PHOSPHOLIPASE A2, GROUP IVA; PLA2G4A	PHOSPHOLIPASE A2, GROUP IVA, DEFICIENCY OF, INCLUDED	1q31.1	1:186828899-186989895	5321
+600946	GROWTH HORMONE RECEPTOR; GHR	GROWTH HORMONE-BINDING PROTEIN, INCLUDED; GHBP, INCLUDED;;INCREASED RESPONSIVENESS TO GROWTH HORMONE, INCLUDED	5p13-p12	5:42423774-42721877	2690
+122720	CYTOCHROME P450, SUBFAMILY IIA, POLYPEPTIDE 6; CYP2A6	TEGAFUR, POOR METABOLISM OF, INCLUDED	19q13.2	19:40843537-40850446	1548
