OMIM Search - 'NOT prefix:\^'
Downloaded:	Oct 27, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT				
%100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1		19q13	19:31900000-58617616	100329167
#100100	PRUNE BELLY SYNDROME; PBS		1q43		
100200	ABDUCENS PALSY				
#100300	ADAMS-OLIVER SYNDROME 1; AOS1	APLASIA CUTIS CONGENITA, CONGENITAL HEART DEFECT, AND FRONTONASAL CYSTS, INCLUDED	3q13.32-q13.33		
%100600	ACANTHOSIS NIGRICANS				
*100640	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1; ALDH1A1		9q21.13	9:72900661-72953316	216
+100650	ALDEHYDE DEHYDROGENASE 2 FAMILY; ALDH2	SUBLINGUAL NITROGLYCERIN, SUSCEPTIBILITY TO POOR RESPONSE TO, INCLUDED;;ALDH2/HMGIC FUSION GENE, INCLUDED;;ESOPHAGEAL CANCER, ALCOHOL-RELATED, SUSCEPTIBILITY TO, INCLUDED	12q24.12	12:111766886-111809984	217
*100660	ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1; ALDH3A1		17p11.2	17:19737983-19748432	218
*100670	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER B1; ALDH1B1		9p13.1	9:38392663-38398664	219
100675	ACETAMINOPHEN METABOLISM				
*100678	ACETYL-CoA ACETYLTRANSFERASE 2; ACAT2		6q25.3	6:159761956-159779111	39
*100690	CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1; CHRNA1		2q31.1	2:174747591-174764471	1134
100700	ACHARD SYNDROME				
*100710	CHOLINERGIC RECEPTOR, NICOTINIC, BETA POLYPEPTIDE 1; CHRNB1		17p13.1	17:7445086-7457612	1140
*100720	CHOLINERGIC RECEPTOR, NICOTINIC, DELTA POLYPEPTIDE; CHRND		2q37.1	2:232526159-232537906	1144
*100725	CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE; CHRNE		17p13.2	17:4897768-4905018	1145
*100730	CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE; CHRNG		2q37.1	2:232539726-232546327	1146
*100740	ACETYLCHOLINESTERASE; ACHE		7q22.1	7:100889993-100896132	43
*100790	ACHAETE-SCUTE COMPLEX, DROSOPHILA, HOMOLOG OF, 1; ASCL1		12q23.2	12:102957673-102960515	429
#100800	ACHONDROPLASIA; ACH		4p16.3		
%100820	ACHOO SYNDROME				
*100850	ACONITASE, MITOCHONDRIAL; ACO2		22q13.2	22:41469124-41528988	50
*100880	ACONITASE 1, SOLUBLE; ACO1		9p21.1	9:32384602-32450835	48
#101000	NEUROFIBROMATOSIS, TYPE II; NF2		22q12.2		
101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III				
#101200	APERT SYNDROME	APERT-CROUZON DISEASE, INCLUDED;;ACROCEPHALOSYNDACTYLY, TYPE II, INCLUDED;;ACS II, INCLUDED;;VOGT CEPHALODACTYLY, INCLUDED	10q26.13		
#101400	SAETHRE-CHOTZEN SYNDROME; SCS	SAETHRE-CHOTZEN SYNDROME WITH EYELID ANOMALIES, INCLUDED;;BLEPHAROPHIMOSIS, EPICANTHUS INVERSUS, AND PTOSIS 3, FORMERLY, INCLUDED; BPES3, FORMERLY, INCLUDED	7p21.1, 10q26.13		
#101600	PFEIFFER SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED	8p11.23, 10q26.13		
#101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1		17q24.2		
101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE				
101840	ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT				
%101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3		2p25-p12		
#101900	ACROKERATOSIS VERRUCIFORMIS; AKV		12q24.11		
102000	ACROLEUKOPATHY, SYMMETRIC		11q13.2		
%102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA				
%102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME				
